name,system,what_it_contains,how_to_use_in_twin,url,license_or_access,priority
In-situ Heating-Stage EBSD Validation of PAG Reconstruction,steel martensite/bainite,"High-temperature EBSD, martensitic/bainitic transformation frames, CTF files, thermocouple readouts, raw dilatometry.",Benchmark parent reconstruction against measured high-temperature parent austenite and transformation sequence.,https://zenodo.org/records/8348372,Zenodo open dataset; check record license before redistribution.,very high
Prior Austenite Grain Measurement supplementary material,steel,"EBSD files, SE images, grain-size lists, EDS, microhardness, Thermo-Calc predictions.",Validate PAG size reconstruction and connect reconstruction to hardness/chemistry metadata.,https://zenodo.org/records/10469461,Zenodo open dataset; check record license before redistribution.,very high
MTEX martensite parent grain reconstruction example,steel martensite,Example dataset and reconstruction workflow inside MTEX documentation.,Benchmark our reconstruction output and OR refinement logic against a respected reference workflow.,https://mtex-toolbox.github.io/MaParentGrainReconstruction.html,Open documentation/example; MTEX is open-source MATLAB toolbox.,very high
orix-data,orientation mapping general,Datasets used by the orix Python library for crystal orientation mapping data.,"Test orientation conventions, plotting, and import/export layers.",https://github.com/pyxem/orix-data,Check individual dataset licenses.,medium
Cayron NiTi B2→B19′ EBSD/TKD paper,NiTi,"Natural OR, prior B2 reconstruction concept, TKD/EBSD interpretation, continuum orientations and habit-plane discussion.",Scientific reference for NiTi OR/distortion/habit-plane modules. Raw EBSD/TKD files are still needed for calibration.,https://www.mdpi.com/2073-4352/10/7/562,Open-access article; raw data not bundled here.,very high
ORTools4MTEX,martensitic/phase transformations,"OR discovery, OR analysis, habit-plane and plotting utilities for MTEX.",Benchmark OR analysis and reporting outputs; use as conceptual comparator.,https://github.com/ORTools4MTEX/ORTools,Repository license shown on GitHub; verify before copying code.,high
OpenPhase martensite/bainite framework paper,steel martensite/bainite,"OpenPhase-based phase-field framework combining phase evolution, chemical diffusion, temperature evolution, finite-strain elastoplasticity.",Target physics connector for spatial phase-field simulation after EBSD and kinetics layers mature.,https://www.sciencedirect.com/science/article/pii/S0927025624002544,Open-access article; software/data access must be checked separately.,high
DAMASK,mechanics/crystal plasticity,Unified multiphysics crystal-plasticity simulation package.,Connector for stress/strain/texture/property simulations once microstructure state is calibrated.,https://damask-multiphysics.org/,Open-source/project access; check license for redistribution.,high
pycalphad,thermodynamics,Python CALPHAD equilibrium/thermodynamic calculation library.,Thermodynamic engine when legal thermodynamic database files are supplied.,https://pycalphad.org/,Open-source code; databases may be licensed separately.,high
GSAS-II,XRD/neutron diffraction,"Open-source Python diffraction analysis and Rietveld refinement framework.",Connector target for refined lattice parameters and phase fractions from XRD/synchrotron data.,https://advancedphotonsource.github.io/GSAS-II-tutorials/,Open-source; verify license for redistribution.,high
HyperSpy/eXSpy,EDS/EELS/TEM/SEM spectra,"Open-source multidimensional data analysis with EDS/EELS extensions.",Connector target for EDS/WDS chemistry and electron microscopy spectral data.,https://hyperspy.org/,Open-source; check package licenses.,high
py4DSTEM,TEM/STEM/4D-STEM,"Open-source Python tools for 4D-STEM processing and analysis.",Future connector for nanoscale orientation/strain/diffraction validation in NiTi martensite.,https://py4dstem.readthedocs.io/en/stable/,Open-source; check license.,medium
pyxem,electron diffraction/TEM,"HyperSpy extension for multidimensional diffraction data and phase/orientation mapping.",Future connector for TEM/electron diffraction evidence and nanoscale phase/orientation maps.,https://www.pyxem.org/,Open-source; check license.,medium
NiTi B2-B19' in situ XRD/lattice parameter literature,NiTi XRD/DSC,"Published data and methods for temperature/composition dependence of B2/B19′ lattice parameters and transformation behavior.",Use as literature priors and target fields; same-sample XRD is still needed for calibrated work.,https://link.springer.com/article/10.1007/s40830-025-00546-9,Article access depends on publisher; do not redistribute tables without permission.,medium
NiTi B2-B19' 4D-STEM literature,NiTi TEM/STEM,"Published nanoscale structural evolution of NiTi B2→B19′ during thermal cycling via 4D-STEM.",Use as reference for future TEM/4D-STEM module and nanoscale validation needs.,https://www.sciencedirect.com/science/article/pii/S0921509325001698,Article access depends on publisher; raw data not bundled.,medium
